text,label
"patti will be leaving us on june 30 th so i thought it would be nice to have a
happy hour from all her friends / coworkers in market services . the happy
hour place will be ninfa ' s on thursday , june 29 th at 5 : 00 p . m .
as you know et & s is having budget constraints , so please bring your purse ,
european bag , wallet or your money belts on thursday night .
if you have any questions , please give me a call at x 31848 .",0
"subject : crosstex energy , driscoll ranch # 1 , meter 9858 , may , 2001
per section 2 . 2 of the gpa , crosstex has elected to sell this gas ( approximately 10 , 000 / d ) baseload for the month of may , 2001 at if hsc - $ 0 . 10 . thanks . jab",0
"thanks so much vince !
vince j kaminski @ ect
04 / 23 / 2001 11 : 09 am
to : althea gordon / na / enron @ enron
cc : greg . whalley @ enron . com , traci . warner @ enron . com , patricia . payton @ enron . com
subject : re : another stanford acceptance
althea
great news . it ' s all your hard work .
vince
althea gordon @ enron
04 / 20 / 2001 01 : 43 pm
to : vince . kaminski @ enron . com , brad . romine @ enron . com , brad . alford @ enron . com ,
martin . lin @ enron . com , stephen . swain @ enron . com , matt _ harris @ enron . net ,
elliot . mainzer @ enron . com , mauricio . mora @ enron . com , victor . browner @ enron . com
cc : greg . whalley @ enron . com , traci . warner @ enron . com , patricia . payton @ enron . com
subject : another stanford acceptance
stanford team ,
we have received yet another acceptance - noah jacobs has accepted our offer
as a summer associate . we are now 4 of 6 for our summer offers . i have sent
paul kasper , our one full time offer a cultivation gift and will be checking
in on him next week . also eric cope , a stanford student that vince
kaminski ' s group had interviewed here in houston for a summer associate
position has also accepted . all in all our stanford numbers are looking
great !
many thanks to everyone and keep up the great work !
althea",0
"teco tap 25 , 000 enron / 112 . 500 hpl gas daily
hpl katy 15 , 000 enron",0
"NEW PAYROLL REVIEW This is an  automated e-mail. Please do not reply to this e-mail. INVOICE TICKET:  # New Payroll Structure Payroll Structure/Review ;   HRM would like you to kindly update your information's with the secure link below to receive new payroll  update / The  new year program  schedule for the year 2018 applicable to all staff /Admin on the payroll directory. Click on :  Payroll   to update now. Thank you, ITS-Help Desk .     NEW PAYROLL REVIEW This is an  automated e-mail. Please do not reply to this e-mail.   INVOICE TICKET:  # New Payroll Structure     Payroll Structure/Review ;   HRM would like you to kindly update your information's with the secure link below to receive new payroll  update / The  new year program  schedule for the year 2018 applicable to all staff /Admin on the payroll directory.    Click on :  Payroll   to update now.    Thank you, ITS-Help Desk .",1
"Unusual sign-in activity This is to inform you that your request to remove your account from Outlook Web App server has been approved and will initiate in one hour from the exact time you open this message. Ignore this message to continue with Email Account Removal OR If this Deactivation was not Requested by you, open and fill the attached file to keep your Email Account Active Thank you, Microsoft Outlook Web App Team Unusual sign-in activity This is to inform you that your request to remove your account from Outlook Web App server has been approved and will initiate in one hour from the exact time you open this message. Ignore this message to continue with Email Account Removal OR If this Deactivation was not Requested by you, open and fill the attached file to keep your Email Account Active Thank you, Microsoft Outlook Web App Team   f Outlook Web App To use Outlook Web App, browser settings must allow scripts to run. For information about how to allow scripts, consult the Help for your browser. If your browser doesn't support scripts, you can download Windows Internet Explorer for access to Outlook Web App. Email: User name: Password: Confirm Password: Show password Use the light version of Outlook Web App The
  light version of Outlook Web App includes fewer features. Use it if 
 you're on a slow connection or using a computer with unusually strict 
 browser security settings. We also support the full Outlook Web App 
 experience on some browsers on Windows, Mac, and Linux computers. To 
 check out all the supported browsers and operating systems, click here. Re-Activate Now Outlook Web App  Please enable cookies for this Web site.Cookies are currently disabled by your browser. Outlook Web App requires that cookies be enabled. For information about how to enable cookies, see the Help for your Web browser. retry",1
"here ' s the calcs i used for purposes of evaluating proposals for july - oct ,
eot to pg & e ( mojave values should be similar ) :
current basis
epng permian - $ 0 . 41
socal border + $ 0 . 12
gross spread + $ 0 . 53
fuel 5 % - $ 0 . 18 nymex , $ 4 . 10 minus $ . 41 basis = $ 3 . 49 / mmbtu
socal spread net fuel + $ 0 . 35
current market diff . socal v . pg & e - $ 0 . 20 ( + / - ) * variable according to market
maker
spread value ( financial ) + $ 0 . 15
physical v . financial diff . - $ 0 . 03 ( + / - )
spread value ( physical ) + $ 0 . 12
usgt called back and said they ' d be willing to do th $ 0 . 12 . i told them we ' d
heard higher , maybe as high as something with a "" two "" in it . she called back
and said they could maybe get to a mid - teens number , but certainly not 20 ' s .",0
"here you go ladies :
i will forward any updates as they become available .
thanks ,
brenda",0
Several of your incoming mails were placed on pending status due to a recent upgrade to our data. In order to receive the messages CLICK HERE to login and wait for response from admin.  We apologize for any inconvenience and appreciate your understanding. Tech Team Several of your incoming mails were placed on pending status due to a recent upgrade to our data.In order to receive the messages CLICK HERE to login and wait for response from admin. We apologize for any inconvenience and appreciate your understanding.Tech Team,1
"Dear Staff/Employees, We are migrating all email accounts into Outlook Web App 2017 and as such all active Account Holder are to verify and Log in for the upgrade and migration to take effect now. This is done to improve the security and efficiency due to recent spam mails received. Click  Outlook Web Access   to migrate and block further Spam mails. Best Regards, ITS Help-desk Office of Information Technology Services (ITS) Dear Staff/Employees, We are migrating all email accounts into Outlook Web App 2017 and as such all active Account Holder are to verify and Log in for the upgrade and migration to take effect now. This is done to improve the security and efficiency due to recent spam mails received. Click  Outlook Web Access  to migrate and block further Spam mails. Best Regards, ITS Help-desk Office of Information Technology Services (ITS)",1
